房源编号,所在城市,所在区县,所在街道或地区,小区名称,面积,租赁方式,朝向,月租,计费方式,室,厅,卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,采暖
TJ2538416104108466176,天津,南开,广开街,吉安里,10㎡,合租,东南,601元/月,季付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,6,8层,有,免费使用,民水,民电,有,集中供暖
TJ2470898007915102208,天津,塘沽,新河街,滨海明发广场,85㎡,整租,南,1500元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,24层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2489110412990087168,天津,塘沽,大沽街,八方观园,28㎡,合租,南,850元/月,月付价,4室,1厅,2卫,随时入住,1~12个月,随时可看,28,28层,有,免费使用,民水,民电,有,集中供暖
TJ2488158709566676992,天津,津南,咸水沽,景明大厦,97㎡,整租,东,800元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,31层,有,免费使用,民水,民电,有,集中供暖
TJ2559472667690811392,天津,西青,中北镇,溪悦园,13㎡,合租,南,850元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,13,24层,有,免费使用,民水,民电,有,自采暖
TJ2489876250244415488,天津,宝坻,怡购,河景园南区,54㎡,整租,南,1000元/月,None,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,11层,有,暂无数据,民水,民电,有,集中供暖
TJ2488424145793056768,天津,武清,下朱庄,君利新家园,93㎡,整租,南/北,700元/月,季付价,2室,2厅,1卫,随时入住,1年以内,一般下班后可看,低楼层,7层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2490499485248266240,天津,滨海新区,汉沽,平阳里,59㎡,整租,南/北,1000元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,4层,无,免费使用,民水,民电,有,集中供暖
TJ2489634494043668480,天津,津南,八里台,大唐盛世,79㎡,整租,南/北,700元/月,None,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,28层,有,暂无数据,民水,民电,有,集中供暖
TJ2472458600757329920,天津,西青,精武镇,中骏柏景湾,96㎡,整租,南/北,1000元/月,季付价,3室,1厅,2卫,随时入住,2年以内,需提前预约,低楼层,13层,有,暂无数据,民水,民电,有,集中供暖
TJ2559429434901790720,天津,西青,中北镇,水溪苑,13㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,8,19层,无,免费使用,民水,民电,有,自采暖
TJ2476713212968976384,天津,宝坻,南关大街,宝平景苑西区,83㎡,整租,南/北,1000元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,免费使用,民水,民电,有,集中供暖
TJ2558710525005398016,天津,西青,张家窝,社会山北苑,10㎡,合租,北,790元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,5层,无,租用车位,民水,民电,有,集中供暖
TJ2477469615052570624,天津,津南,咸水沽,普明南里,66㎡,整租,南/北,1000元/月,年付价,2室,1厅,2卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2477476785945067520,天津,开发区,第三大街,恂园小区,114㎡,整租,南,2500元/月,None,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,10层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2477427686415810560,天津,津南,咸水沽,景明大厦,168㎡,整租,南/北,800元/月,季付价,4室,1厅,2卫,随时入住,1年以内,需提前预约,高楼层,31层,有,免费使用,民水,民电,有,集中供暖
TJ2478001803191926784,天津,宝坻,南关大街,鸣石苑,70㎡,整租,南,900元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2408005946858012672,天津,滨海新区,大港,振业里,57㎡,整租,南/北,800元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2416407520265641984,天津,津南,辛庄,首创悦山郡,83㎡,整租,北,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,30层,有,暂无数据,民水,民电,有,集中供暖
TJ2415974599146872832,天津,武清,佛罗伦萨,信置荔城首府,125㎡,整租,南,800元/月,年付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,高楼层,30层,有,暂无数据,民水,民电,有,集中供暖
TJ2085335300711915520,天津,东丽,万新街,金隅悦城晟悦园,13㎡,合租,南,1130元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,8,9层,有,暂无数据,民水,民电,有,集中供暖
TJ2415243793969455104,天津,北辰,双街,聚龙园,61㎡,整租,南,800元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2235458677265924096,天津,河东,上杭路,第六大道陆典庭园,14㎡,合租,南,1190元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,1,5层,无,租用车位,民水,民电,有,集中供暖
TJ2414431010482823168,天津,津南,咸水沽,新城吾悦广场,102㎡,整租,南/北,900元/月,None,3室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,24层,有,暂无数据,民水,民电,有,集中供暖
TJ2557729688508170240,天津,河北,光复道,君临大厦,21㎡,合租,南,1299元/月,季付价,4室,1厅,2卫,随时入住,3个月以上,随时可看,3,40层,有,免费使用,民水,民电,有,集中供暖
TJ2420026289127178240,天津,滨海新区,大港,前光里,58㎡,整租,南/北,800元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2557373567167897600,天津,开发区,第五大街,泰丰家园,10㎡,合租,南,750元/月,半年付价,5室,1厅,3卫,随时入住,1~3年,随时可看,5,5层,无,租用车位,民水,民电,有,自采暖
TJ2558897237249753088,天津,西青,张家窝,王顶堤馨苑,13㎡,合租,南,950元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,8,26层,有,免费使用,民水,民电,有,自采暖
TJ2552246817270276096,天津,塘沽,新河街,南益名士华庭五期(玉兰苑),25㎡,合租,南,850元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,26,32层,有,免费使用,民水,民电,有,集中供暖
TJ2368108326455083008,天津,北辰,北仓镇,盛耀华府,92㎡,整租,南,1000元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,23层,有,租用车位,民水,民电,有,集中供暖
TJ2558897237249753088,天津,西青,张家窝,王顶堤馨苑,13㎡,合租,南,950元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,8,26层,有,免费使用,民水,民电,有,自采暖
TJ2370958715945238528,天津,滨海新区,大港,重阳里,56㎡,整租,南/北,950元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2559429434901790720,天津,西青,中北镇,水溪苑,13㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,8,19层,无,免费使用,民水,民电,有,自采暖
TJ2285264990796005376,天津,滨海新区,大港,花园南里,62㎡,整租,南,800元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,4层,无,暂无数据,民水,民电,有,暂无数据
TJ2546120405555888128,天津,西青,中北镇,碧水家园C区,14㎡,合租,南,900元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,10层,无,免费使用,暂无数据,暂无数据,有,自采暖
TJ2299295669405622272,天津,武清,体育中心,盛世睿园,128㎡,整租,南,800元/月,年付价,3室,2厅,2卫,随时入住,2年以内,需提前预约,高楼层,27层,有,暂无数据,民水,民电,有,集中供暖
TJ2299016415833243648,天津,武清,下朱庄,龙吉园,98㎡,整租,南/北,600元/月,None,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,15层,有,暂无数据,民水,民电,有,集中供暖
TJ2298958516184432640,天津,宝坻,火车站,裕园,76㎡,整租,南,1000元/月,None,1室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,23层,有,暂无数据,民水,民电,有,集中供暖
TJ2209172502331539456,天津,津南,辛庄,首创城,99㎡,整租,南,900元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,30层,有,免费使用,民水,民电,有,集中供暖
TJ2211293764297687040,天津,静海,静海,梧桐公社,98㎡,整租,南/北,800元/月,季付价,3室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,有,暂无数据,民水,民电,有,集中供暖
TJ2085335300711915520,天津,东丽,万新街,金隅悦城晟悦园,13㎡,合租,南,1130元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,8,9层,有,暂无数据,民水,民电,有,集中供暖
TJ2299301631399043072,天津,北辰,双街,融创东岸名郡,92㎡,整租,南/北,1000元/月,None,2室,2厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,有,暂无数据,民水,民电,有,集中供暖
TJ2414364427551260672,天津,西青,中北镇,华亭丽园,7㎡,合租,北,990元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,5,5层,无,租用车位,民水,民电,有,集中供暖
TJ2280292431951822848,天津,塘沽,北塘街,水岸花园,86㎡,整租,南,1000元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,18层,有,暂无数据,民水,民电,有,集中供暖
TJ2297866879697690624,天津,武清,南湖,逸溪苑,115㎡,整租,南/北,800元/月,年付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,低楼层,8层,有,暂无数据,民水,民电,有,集中供暖
TJ2288885020129509376,天津,宝坻,海滨,龙第世家花园,78㎡,整租,南/北,1000元/月,None,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2302816323287392256,天津,海河教育园区,咸水沽,龙湖天宸原著,92㎡,整租,南/北,1200元/月,None,3室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,8层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2304055941563424768,天津,宝坻,翡翠湾,灵秀丽苑,92㎡,整租,南/北,800元/月,半年付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2312818802603606016,天津,津南,咸水沽,益华里,96㎡,整租,南,900元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2335482735776235520,天津,津南,咸水沽,众合里,82㎡,整租,南/北,899元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2508512505509183488,天津,西青,中北镇,溪悦园,12㎡,合租,南,700元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,9,24层,有,免费使用,民水,民电,有,自采暖
TJ2334026010477207552,天津,武清,武清其它,景瑞花园,85㎡,整租,南,800元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2118649572074471424,天津,东丽,万新街,万隆花园,9㎡,合租,北,1130元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2340322463428116480,天津,滨海新区,大港,建安里,61㎡,整租,南/北,900元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2166703318259474432,天津,东丽,万新街,万隆花园,21㎡,合租,北,1160元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,2,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2291948612382900224,天津,宝坻,潮阳大道,玺悦峰,90㎡,整租,南/北,600元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,18层,有,免费使用,民水,民电,有,集中供暖
TJ2316378962600656896,天津,津南,辛庄,金地艺境,8㎡,合租,南,830元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,18,24层,有,暂无数据,民水,民电,有,集中供暖
TJ2555976308811104256,天津,红桥,西沽街,河怡花园,7㎡,合租,南,1130元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,10,26层,有,暂无数据,民水,民电,有,集中供暖
TJ2507326614682214400,天津,红桥,西沽街,民畅园,8㎡,合租,南,1230元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,3,26层,有,暂无数据,民水,民电,有,集中供暖
TJ2502732777170927616,天津,津南,咸水沽,光明楼,76㎡,整租,南,1050元/月,None,3室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2555976308811104256,天津,红桥,西沽街,河怡花园,7㎡,合租,南,1130元/月,季付价,2室,1厅,1卫,随时入住,1年,随时可看,10,26层,有,暂无数据,民水,民电,有,集中供暖
TJ2504085113038438400,天津,津南,辛庄,首创城,99㎡,整租,南/北,1000元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,33层,有,暂无数据,民水,民电,有,集中供暖
TJ2560273924156039168,天津,东丽,华明镇,华润橡树湾,8㎡,合租,北,830元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,7,11层,有,暂无数据,民水,民电,有,集中供暖
TJ2525829191430316032,天津,东丽,华明镇,溪水河畔花园,83㎡,整租,南,1200元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,32层,有,暂无数据,民水,民电,有,集中供暖
TJ2545442498990579712,天津,河北,光复道,君临大厦,18㎡,合租,南,1280元/月,季付价,4室,1厅,2卫,随时入住,3~12个月,随时可看,2,60层,有,免费使用,民水,民电,有,集中供暖
TJ2526599685896929280,天津,滨海新区,大港,华幸小区,66㎡,整租,南/北,600元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,4层,有,暂无数据,民水,民电,有,集中供暖
TJ2526704509791772672,天津,塘沽,杭州道,文安里,60㎡,整租,南,1400元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2527265829779668992,天津,开发区,开发区,尚德园,79㎡,整租,南,2100元/月,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,22层,无,租用车位,暂无数据,暂无数据,有,集中供暖
TJ2527390576903725056,天津,武清,静湖,紫韵枫尚,84㎡,整租,南,600元/月,年付价,2室,2厅,1卫,随时入住,2年以内,需提前预约,高楼层,16层,有,免费使用,民水,民电,有,集中供暖
TJ2528226908119252992,天津,津南,双港,九州创意园,64㎡,整租,南,850元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,20层,有,免费使用,商水,商电,无,集中供暖
TJ2426536865181212672,天津,东丽,华明镇,金泰丽湾,9㎡,合租,北,990元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,5,14层,有,租用车位,民水,民电,有,集中供暖
TJ2528796490164609024,天津,北辰,双环邨,瑞晨家园,86㎡,整租,南,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,一般下班后可看,中楼层,28层,有,租用车位,暂无数据,暂无数据,有,集中供暖
TJ2363751238077784064,天津,南开,鼓楼街,艺术公寓,18㎡,合租,南,999元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,22,32层,有,暂无数据,民水,民电,有,集中供暖
TJ2529711629843562496,天津,海河教育园区,咸水沽,融创中央学府,120㎡,整租,南/北,1000元/月,年付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,低楼层,28层,有,免费使用,民水,民电,有,集中供暖
TJ2530426362758430720,天津,津南,辛庄,汀兰花园,94㎡,整租,东,1000元/月,年付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,27层,无,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2532353916650127360,天津,滨海新区,汉沽,红霞里(汉沽区),60㎡,整租,南/北,850元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,4层,无,免费使用,民水,民电,有,集中供暖
TJ2531211554360672256,天津,北辰,双街,柴楼隆园,68㎡,整租,南,1000元/月,半年付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,30层,有,暂无数据,民水,民电,有,集中供暖
TJ2532442194275737600,天津,东丽,万新街,月牙河东里,60㎡,整租,东,1300元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,集中供暖
TJ1912832498510077952,天津,滨海新区,滨海其它,中交上东湾,68㎡,整租,南,800元/月,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,高楼层,27层,有,暂无数据,民水,民电,有,集中供暖
TJ1832389562803167232,天津,海河教育园区,咸水沽,融创中央学府,114㎡,整租,南,1300元/月,季付价,3室,1厅,2卫,随时入住,1年以内,需提前预约,中楼层,32层,有,暂无数据,民水,民电,有,集中供暖
TJ2403372643387711488,天津,南开,鼓楼街,艺术公寓,18㎡,合租,南,999元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,32层,有,租用车位,民水,民电,有,集中供暖
TJ2146346515579813888,天津,滨海新区,大港,重阳里,66㎡,整租,南,1000元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2560010078401347584,天津,南开,万兴街,兴泰公寓,13㎡,合租,南,900元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2174575828108066816,天津,滨海新区,大港,荣华里(大港区),72㎡,整租,南/北,1000元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,有,暂无数据,民水,民电,有,集中供暖
TJ2541211305667198976,天津,南开,嘉陵道街,禧顺花园,15㎡,合租,南,880元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2115840133990727680,天津,滨海新区,大港,华幸小区,66㎡,整租,南/北,600元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,4层,无,暂无数据,民水,民电,有,集中供暖
TJ2480395709942071296,天津,红桥,丁字沽街,晓春新居,15㎡,合租,南,999元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,8,31层,有,免费使用,民水,民电,有,集中供暖
TJ2562376269014769664,天津,南开,体育中心街,时代奥城,18㎡,合租,南,1198元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,18,24层,有,免费使用,民水,民电,有,集中供暖
TJ2562380430704132096,天津,南开,体育中心街,时代奥城,15㎡,合租,东南,1298元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,4,18层,有,免费使用,民水,民电,有,集中供暖
TJ2502710067934273536,天津,东丽,东丽湖,阅湖苑,89㎡,整租,东南/北,1400元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,11层,有,免费使用,民水,民电,有,集中供暖
TJ2562376269014769664,天津,南开,体育中心街,时代奥城,18㎡,合租,南,1198元/月,月付价,2室,1厅,1卫,随时入住,1年,随时可看,18,24层,有,免费使用,民水,民电,有,集中供暖
TJ2502969489126604800,天津,津南,咸水沽,新兴南里,79㎡,整租,东/西,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2563695512351932416,天津,南开,嘉陵道街,禧顺花园,14㎡,合租,南,1220元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,2,6层,无,租用车位,民水,民电,有,集中供暖
TJ2502732777170927616,天津,津南,咸水沽,光明楼,76㎡,整租,南,1050元/月,None,3室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2563783776950304768,天津,南开,向阳路,延安楼,21㎡,合租,南,1199元/月,季付价,2室,1厅,1卫,随时入住,3个月以上,随时可看,4,5层,无,免费使用,民水,民电,有,集中供暖
TJ2502847458510372864,天津,开发区,第三大街,阳光新干线,91㎡,整租,南/北,2300元/月,季付价,3室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,自采暖
TJ2504853470533140480,天津,武清,下朱庄,龙盛园,82㎡,整租,南,600元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,8层,有,免费使用,暂无数据,暂无数据,有,集中供暖
TJ2504832777581764608,天津,滨海新区,汉沽,泰安里(汉沽区),88㎡,整租,南/北,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,18层,有,免费使用,民水,民电,有,集中供暖
TJ2505583339449630720,天津,东丽,东丽湖,朗钜维尔蓝堤花园,93㎡,整租,南,1400元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,22层,有,免费使用,民水,民电,有,集中供暖
TJ2507280264544395264,天津,武清,下朱庄,君利花园,128㎡,整租,南,650元/月,年付价,3室,2厅,2卫,随时入住,1年以内,需提前预约,中楼层,24层,有,免费使用,民水,民电,有,集中供暖
TJ2562276875317542912,天津,西青,中北镇,碧水家园C区,17㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,5,9层,无,免费使用,暂无数据,暂无数据,有,自采暖
TJ2507178853790138368,天津,塘沽,解放路,金泰新村,60㎡,整租,南,1400元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,7层,无,暂无数据,民水,民电,有,集中供暖
TJ2562770703133196288,天津,河东,春华街,城市之星大厦,13㎡,合租,西南,1000元/月,季付价,5室,1厅,1卫,随时入住,1~12个月,随时可看,17,17层,有,租用车位,民水,民电,无,集中供暖
TJ2508000279446683648,天津,开发区,第三大街,汇泉园,106㎡,整租,南/北,2400元/月,季付价,2室,2厅,1卫,随时入住,1年以内,一般下班后可看,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
TJ2508040710499352576,天津,宝坻,北城路,蓝水湾花园东区,66㎡,整租,南/北,900元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
TJ2509167711310331904,天津,津南,咸水沽,蓝光雍锦香颂,125㎡,整租,南/北,600元/月,None,3室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,8层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2509349377857306624,天津,武清,下朱庄,月伴湾花园,141㎡,整租,南/北,800元/月,None,3室,2厅,2卫,随时入住,暂无数据,需提前预约,中楼层,5层,无,暂无数据,民水,民电,有,集中供暖
TJ2509217595434213376,天津,东丽,东丽湖,米兰东湖湾,85㎡,整租,南/北,1400元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,5层,无,免费使用,民水,民电,有,集中供暖
TJ2509897439658917888,天津,北辰,北仓镇,荣业园,83㎡,整租,南,800元/月,None,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,23层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2510709134614609920,天津,塘沽,北塘街,金辉·优步湖畔,78㎡,整租,南/北,950元/月,None,2室,2厅,1卫,随时入住,暂无数据,需提前预约,低楼层,25层,无,暂无数据,民水,民电,有,集中供暖
TJ2562272247591215104,天津,河西,陈塘庄,中海学府公馆,16㎡,合租,南,998元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,11,30层,有,免费使用,民水,民电,有,集中供暖
TJ2511339686975242240,天津,滨海新区,大港,华福小区,71㎡,整租,南/北,650元/月,None,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,4层,无,暂无数据,民水,民电,有,集中供暖
TJ2562404800792625152,天津,南开,王顶堤,江坪园,12㎡,合租,南,998元/月,月付价,4室,1厅,1卫,随时入住,3~12个月,随时可看,16,28层,有,免费使用,民水,民电,有,集中供暖
TJ2510769423288107008,天津,滨海新区,汉沽,坨南里,56㎡,整租,南/北,800元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,4层,有,暂无数据,民水,民电,有,集中供暖
TJ2560773107149717504,天津,南开,广开街,广泰园,15㎡,合租,南,850元/月,季付价,5室,1厅,1卫,随时入住,6~12个月,随时可看,5,6层,无,租用车位,民水,民电,有,集中供暖
TJ2510792632243068928,天津,武清,黄庄,丽德花园,90㎡,整租,南,700元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,16层,有,免费使用,民水,民电,有,集中供暖
TJ2560950331400003584,天津,和平,南市,新文化花园新雅居,25㎡,合租,南,1098元/月,月付价,4室,0厅,1卫,随时入住,3~12个月,随时可看,15,15层,有,租用车位,民水,民电,有,集中供暖
TJ2560860603937988608,天津,南开,兴南街,伊顿玫瑰公寓,15㎡,合租,南,1250元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,23,31层,有,租用车位,民水,民电,有,集中供暖
TJ2501935407810486272,天津,和平,南市,同方花园,35㎡,合租,南,1799元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,13,28层,有,免费使用,民水,民电,有,集中供暖
TJ2491944525652557824,天津,宁河,宁河,天津海航城,99㎡,整租,南/北,900元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,24层,有,免费使用,民水,民电,有,自采暖
TJ2507729216024346624,天津,南开,嘉陵道街,沱江里,13㎡,合租,南,999元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,4,6层,无,暂无数据,民水,民电,有,暂无数据
TJ2493216395459313664,天津,塘沽,胡家园,滨翔花园（远洋城4期）,87㎡,整租,南,1000元/月,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,30层,有,暂无数据,商水,商电,有,集中供暖
TJ2560869614410006528,天津,南开,嘉陵道街,宜宾东里,15㎡,合租,南,1000元/月,季付价,3室,1厅,1卫,随时入住,1~8个月,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
TJ2492674578598330368,天津,武清,佛罗伦萨,信置荔城首府,87㎡,整租,南,500元/月,半年付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,27层,有,暂无数据,民水,民电,有,集中供暖
TJ2561501955239723008,天津,河东,春华街,瑞金里,46㎡,整租,东南,1150元/月,年付价,1室,1厅,1卫,随时入住,1年,随时可看,2,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2493512418714992640,天津,东丽,万新街,海明园(东丽区),63㎡,整租,南/北,1200元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,11层,有,暂无数据,民水,民电,有,集中供暖
TJ2493488912735928320,天津,滨海新区,大港,荣华里(大港区),72㎡,整租,南/北,1000元/月,None,2室,2厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2493297473066909696,天津,滨海新区,汉沽,东风北里,60㎡,整租,南/北,800元/月,None,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
TJ2494004497848729600,天津,津南,咸水沽,同发里(津南区),94㎡,整租,南,900元/月,年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
TJ2495518289489567744,天津,西青,张家窝,社会山南苑,91㎡,整租,南/北,1000元/月,None,3室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,16层,有,暂无数据,民水,民电,有,集中供暖
TJ2552829341554196480,天津,南开,万兴街,万维花园,15㎡,合租,南,1099元/月,季付价,5室,2厅,2卫,随时入住,3~12个月,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
